Date,FB,AAPL,AMZN,NFLX,GOOGL,TSLA
2013-01-02,28.0,55.923736572265625,257.30999755859375,13.144286155700684,361.98699951171875,35.36000061035156
2013-01-03,27.770000457763672,55.217864990234375,258.4800109863281,13.798571586608887,362.19720458984375,34.77000045776367
2013-01-04,28.760000228881836,53.679771423339844,259.1499938964844,13.71142864227295,369.3543395996094,34.400001525878906
2013-01-07,29.420000076293945,53.364013671875,268.4599914550781,14.171428680419922,367.74273681640625,34.34000015258789
2013-01-08,29.059999465942383,53.50763702392578,266.3800048828125,13.880000114440918,367.01702880859375,33.68000030517578
2013-01-09,30.59000015258789,52.67136001586914,266.3500061035156,13.701428413391113,369.429443359375,33.63999938964844
2013-01-10,31.299999237060547,53.32429122924805,265.3399963378906,14.0,371.1111145019531,33.529998779296875
2013-01-11,31.719999313354492,52.997318267822266,267.94000244140625,14.470000267028809,370.3653564453125,32.90999984741211
2013-01-14,30.950000762939453,51.10782241821289,272.7300109863281,14.778571128845215,361.98699951171875,33.2599983215332
2013-01-15,30.100000381469727,49.49540710449219,271.8999938964844,14.527142524719238,362.82781982421875,33.900001525878906
2013-01-16,29.850000381469727,51.549888610839844,268.92999267578125,13.925714492797852,357.95294189453125,34.099998474121094
2013-01-17,30.139999389648438,51.20256042480469,270.4800109863281,13.95714282989502,356.0160217285156,34.380001068115234
2013-01-18,29.65999984741211,50.92958068847656,272.1199951171875,14.167142868041992,352.60760498046875,34.52000045776367
2013-01-22,30.729999542236328,51.41545486450195,270.19000244140625,13.972857475280762,351.7867736816406,35.189998626708984
2013-01-23,30.81999969482422,52.35663604736328,268.1099853515625,14.751428604125977,371.1211242675781,36.0
2013-01-24,31.079999923706055,45.887550354003906,273.4599914550781,20.979999542236328,377.48248291015625,36.9900016784668
2013-01-25,31.540000915527344,44.80580520629883,283.989990234375,24.222856521606445,377.21221923828125,36.97999954223633
2013-01-28,32.470001220703125,45.81930923461914,276.0400085449219,23.158571243286133,375.7407531738281,38.029998779296875
2013-01-29,30.790000915527344,46.67899703979492,260.3500061035156,24.15999984741211,377.21722412109375,37.95000076293945
2013-01-30,31.239999771118164,46.532325744628906,272.760009765625,23.957143783569336,377.29229736328125,37.52000045776367
2013-01-31,30.979999542236328,46.39582824707031,265.5,23.605714797973633,378.2232360839844,37.5099983215332
2013-02-01,29.729999542236328,46.20534896850586,265.0,23.542856216430664,388.1882019042969,38.29999923706055
2013-02-04,28.110000610351562,45.05433654785156,259.9800109863281,24.96285629272461,379.889892578125,37.7400016784668
2013-02-05,28.639999389648438,46.63520050048828,266.8900146484375,24.912857055664062,383.2532653808594,38.130001068115234
2013-02-06,29.049999237060547,46.585289001464844,262.2200012207031,26.34428596496582,385.470458984375,39.16999816894531
2013-02-07,28.649999618530273,49.70866775512695,260.2300109863281,25.994285583496094,387.36236572265625,39.47999954223633
2013-02-08,28.549999237060547,50.42634582519531,261.95001220703125,25.85285758972168,393.07806396484375,39.2400016784668
2013-02-11,28.260000228881836,50.95186233520508,257.2099914550781,25.412857055664062,391.6015930175781,38.41999816894531
2013-02-12,27.3700008392334,49.67469024658203,258.70001220703125,25.421428680419922,390.7407531738281,37.88999938964844
2013-02-13,27.90999984741211,49.580196380615234,269.4700012207031,26.610000610351562,391.8218078613281,38.45000076293945
2013-02-14,28.5,49.535614013671875,269.239990234375,26.77142906188965,394.3042907714844,38.27000045776367
2013-02-15,28.31999969482422,48.85297393798828,265.0899963378906,27.072856903076172,396.8418273925781,37.040000915527344
2013-02-19,28.93000030517578,48.834938049316406,269.75,28.064285278320312,403.8288269042969,39.279998779296875
2013-02-20,28.459999084472656,47.65224838256836,266.4100036621094,26.731428146362305,396.6266174316406,38.540000915527344
2013-02-21,27.280000686645508,47.356048583984375,265.94000244140625,26.735713958740234,398.1631774902344,35.15999984741211
2013-02-22,27.1299991607666,47.86033248901367,265.4200134277344,25.694286346435547,400.2552490234375,36.11000061035156
2013-02-25,27.270000457763672,47.00994873046875,259.8699951171875,25.617143630981445,395.7807922363281,34.380001068115234
2013-02-26,27.389999389648438,47.664981842041016,259.3599853515625,26.29857063293457,395.46044921875,34.43000030517578
2013-02-27,26.8700008392334,47.197853088378906,263.25,26.33142852783203,400.290283203125,35.099998474121094
2013-02-28,27.25,46.86131286621094,264.2699890136719,26.868572235107422,401.0010070800781,34.83000183105469
2013-03-01,27.780000686645508,45.70093536376953,265.739990234375,27.0528564453125,403.4985046386719,34.650001525878906
2013-03-04,27.719999313354492,44.594696044921875,273.1099853515625,25.887142181396484,411.1611633300781,35.58000183105469
2013-03-05,27.520000457763672,45.772064208984375,275.5899963378906,25.961427688598633,419.7197265625,36.650001525878906
2013-03-06,27.450000762939453,45.19028091430664,273.7900085449219,26.13428497314453,416.1061096191406,37.689998626708984
2013-03-07,28.579999923706055,45.712608337402344,273.8800048828125,25.937143325805664,416.7167053222656,38.22999954223633
2013-03-08,27.959999084472656,45.83363723754883,274.19000244140625,26.385713577270508,416.1761779785156,38.470001220703125
2013-03-11,28.139999389648438,46.48655700683594,271.239990234375,25.77857208251953,417.82781982421875,39.099998474121094
2013-03-12,27.829999923706055,45.484352111816406,274.1300048828125,26.015714645385742,414.2192077636719,39.119998931884766
2013-03-13,27.079999923706055,45.47585678100586,275.1000061035156,27.479999542236328,413.06805419921875,38.97999954223633
2013-03-14,27.040000915527344,45.91644287109375,265.739990234375,26.90999984741211,411.1811828613281,36.849998474121094
2013-03-15,26.649999618530273,47.101253509521484,261.82000732421875,26.407142639160156,407.55755615234375,35.290000915527344
