,AvgNegativeReturn,AvgPositiveReturn,AvgReturn,AvgTrades,WinRatio
"(5, 10)",-2.8269,2.9413,0.4343,43.15,56.4407
"(10, 20)",-2.9617,3.1214,0.4241,23.0,55.5489
